epoch,train_loss,valid_loss,valid_bleu,run
1,5.0724,5.0097,8.39,transformer_abs_layer
2,4.2459,4.74,7.46,transformer_abs_layer
3,3.9003,4.59,8.83,transformer_abs_layer
4,3.6803,4.5037,9.39,transformer_abs_layer
5,3.5197,4.419,9.3,transformer_abs_layer
6,3.3953,4.3893,10.16,transformer_abs_layer
7,3.2966,4.3685,9.92,transformer_abs_layer
8,3.2152,4.3656,9.66,transformer_abs_layer
9,3.1452,4.354,9.71,transformer_abs_layer
10,3.0832,4.3397,10.11,transformer_abs_layer
11,3.0287,4.3468,11.55,transformer_abs_layer
12,2.982,4.3546,11.63,transformer_abs_layer
13,2.94,4.3359,10.65,transformer_abs_layer
14,2.9016,4.3082,11.72,transformer_abs_layer
15,2.8657,4.356,11.54,transformer_abs_layer
16,2.8333,4.3356,11.65,transformer_abs_layer
17,2.8039,4.3357,10.85,transformer_abs_layer
18,2.7757,4.3182,11.17,transformer_abs_layer
19,2.7504,4.3342,12.07,transformer_abs_layer
20,2.7252,4.3559,12.12,transformer_abs_layer
1,5.2279,5.0835,6.28,transformer_abs_rms
2,4.3697,4.7953,6.56,transformer_abs_rms
3,4.0029,4.6574,8.34,transformer_abs_rms
4,3.7701,4.5375,9.15,transformer_abs_rms
5,3.5992,4.4699,8.59,transformer_abs_rms
6,3.4671,4.4366,9.03,transformer_abs_rms
7,3.3617,4.4324,8.99,transformer_abs_rms
8,3.2725,4.4181,9.64,transformer_abs_rms
9,3.1997,4.4067,10.11,transformer_abs_rms
10,3.1356,4.4083,10.26,transformer_abs_rms
11,3.0796,4.392,10.28,transformer_abs_rms
12,3.0294,4.3945,10.59,transformer_abs_rms
13,2.9845,4.3708,10.0,transformer_abs_rms
14,2.9435,4.3809,11.1,transformer_abs_rms
15,2.9072,4.4,10.34,transformer_abs_rms
16,2.8746,4.3758,10.6,transformer_abs_rms
17,2.842,4.389,10.1,transformer_abs_rms
18,2.8144,4.3491,10.39,transformer_abs_rms
19,2.7867,4.3875,10.89,transformer_abs_rms
20,2.7617,4.4066,11.39,transformer_abs_rms
1,5.4457,5.2593,7.03,transformer_bs128
2,4.5618,4.9328,6.92,transformer_bs128
3,4.1745,4.7687,8.18,transformer_bs128
4,3.9213,4.6272,8.5,transformer_bs128
5,3.7351,4.5714,9.86,transformer_bs128
6,3.5887,4.5047,8.82,transformer_bs128
7,3.4705,4.4799,9.75,transformer_bs128
8,3.3721,4.4617,9.72,transformer_bs128
9,3.2898,4.4621,10.2,transformer_bs128
10,3.2176,4.4386,9.49,transformer_bs128
11,3.1544,4.4437,9.63,transformer_bs128
12,3.0992,4.4402,11.21,transformer_bs128
13,3.0493,4.4213,10.0,transformer_bs128
14,3.0056,4.4281,10.81,transformer_bs128
15,2.9654,4.425,9.52,transformer_bs128
16,2.9301,4.4081,9.46,transformer_bs128
17,2.8942,4.4474,9.54,transformer_bs128
18,2.8637,4.4207,10.3,transformer_bs128
19,2.835,4.4138,11.1,transformer_bs128
20,2.8091,4.4339,11.38,transformer_bs128
1,5.1008,5.008,6.49,transformer_lr001
2,4.2578,4.7466,5.97,transformer_lr001
3,3.9101,4.5761,8.72,transformer_lr001
4,3.6944,4.5009,8.83,transformer_lr001
5,3.5398,4.4181,9.19,transformer_lr001
6,3.4206,4.395,8.98,transformer_lr001
7,3.3236,4.363,10.74,transformer_lr001
8,3.2436,4.3593,9.96,transformer_lr001
9,3.1756,4.3192,10.69,transformer_lr001
10,3.1155,4.3257,9.66,transformer_lr001
11,3.0625,4.3394,10.29,transformer_lr001
12,3.0161,4.3067,11.59,transformer_lr001
13,2.9732,4.3261,11.0,transformer_lr001
14,2.9348,4.294,12.03,transformer_lr001
15,2.8985,4.3197,11.81,transformer_lr001
16,2.8659,4.3007,11.78,transformer_lr001
17,2.835,4.31,11.44,transformer_lr001
18,2.8057,4.3094,11.48,transformer_lr001
19,2.7809,4.3025,12.19,transformer_lr001
20,2.7539,4.3066,11.96,transformer_lr001
1,8.3805,5.6411,6.49,transformer_rlt_rope
2,5.0735,5.2406,8.08,transformer_rlt_rope
3,4.6699,5.0307,9.28,transformer_rlt_rope
4,4.4035,4.8534,10.89,transformer_rlt_rope
5,4.2005,4.7692,11.06,transformer_rlt_rope
6,4.0345,4.6845,11.72,transformer_rlt_rope
7,3.8928,4.6337,11.58,transformer_rlt_rope
8,3.7515,4.5352,11.84,transformer_rlt_rope
9,3.6105,4.4589,11.56,transformer_rlt_rope
10,3.4919,4.4304,12.01,transformer_rlt_rope
11,3.3898,4.3931,12.36,transformer_rlt_rope
12,3.3,4.3467,11.65,transformer_rlt_rope
13,3.2206,4.2906,12.2,transformer_rlt_rope
14,3.1499,4.2523,12.99,transformer_rlt_rope
15,3.0819,4.268,12.42,transformer_rlt_rope
16,3.0265,4.2074,12.58,transformer_rlt_rope
17,2.9698,4.2255,12.49,transformer_rlt_rope
18,2.9215,4.2033,13.55,transformer_rlt_rope
19,2.8759,4.1896,13.15,transformer_rlt_rope
20,2.8333,4.1682,12.91,transformer_rlt_rope
1,5.8633,5.6067,5.19,transformer_scale_small
2,5.0885,5.3025,5.99,transformer_scale_small
3,4.773,5.1333,6.59,transformer_scale_small
4,4.5674,4.9985,6.43,transformer_scale_small
5,4.4137,4.9325,6.41,transformer_scale_small
6,4.2939,4.89,7.36,transformer_scale_small
7,4.1957,4.8465,8.27,transformer_scale_small
8,4.1129,4.823,8.51,transformer_scale_small
9,4.0435,4.7751,7.1,transformer_scale_small
10,3.983,4.7501,7.53,transformer_scale_small
11,3.9292,4.7298,7.65,transformer_scale_small
12,3.8822,4.7003,8.37,transformer_scale_small
13,3.8404,4.6976,7.62,transformer_scale_small
14,3.8016,4.6918,8.26,transformer_scale_small
15,3.7665,4.6608,9.2,transformer_scale_small
16,3.7342,4.6429,7.32,transformer_scale_small
17,3.704,4.6433,7.73,transformer_scale_small
18,3.6765,4.6259,7.87,transformer_scale_small
19,3.6512,4.6464,8.85,transformer_scale_small
20,3.6271,4.6136,8.12,transformer_scale_small
